,Name,Measure,Toxicity,Reference
17,BENZENE,LD50,Mouse ip 340 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 360"
18,BENZENE,LD50,Rabbit dermal >8260 mg/kg bw,"IUCLID Data Set for Benzene (71-43-2); Available from, as of March 21, 2014: https://esis.jrc.ec.europa.eu/doc/IUCLID/data_sheets/71432.pdf"
19,BENZENE,LD50,Guinea pig dermal >8260 mg/kg bw,"IUCLID Data Set for Benzene (71-43-2); Available from, as of March 21, 2014: https://esis.jrc.ec.europa.eu/doc/IUCLID/data_sheets/71432.pdf"
20,CAFFEINE,LD50,Rat ip 260 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 666"
21,CAFFEINE,LD50,Rat oral 192 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 666"
22,CAFFEINE,LD50,Rat rectal 300 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 666"
23,CAFFEINE,LD50,Rat iv 105 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 666"
24,CAFFEINE,LD50,Rat sc 170 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 666"
25,CAFFEINE,LD50,Mouse oral 127 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 666"
26,CAFFEINE,LD50,Mouse ip 168 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 666"
27,CAFFEINE,LD50,Mouse iv 62 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 666"
28,CAFFEINE,LD50,Mouse sc 270 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 666"
29,CAFFEINE,LD50,Dog oral 140 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 666"
30,CAFFEINE,LD50,Rabbit oral 224 mg/kg,"IUCLID Data Sheets for Caffeine (CAS 58-08-2); Available from, as of January 9, 2014: https://esis.jrc.ec.europa.eu/doc/IUCLID/data_sheets/58082.pdf"
31,CAFFEINE,LD50,Guinea pig oral 230 mg/kg,"IUCLID Data Sheets for Caffeine (CAS 58-08-2); Available from, as of January 9, 2014: https://esis.jrc.ec.europa.eu/doc/IUCLID/data_sheets/58082.pdf"
32,CAFFEINE,LD50,Hamster oral 230 mg/kg,"IUCLID Data Sheets for Caffeine (CAS 58-08-2); Available from, as of January 9, 2014: https://esis.jrc.ec.europa.eu/doc/IUCLID/data_sheets/58082.pdf"
33,CAMPHOR,LD50,Mouse oral 1310 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 684"
34,CAMPHOR,LD50,Rat subcutaneously 70 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 684"
35,CAMPHOR,LD50,Mouse ip 3000 mg/kg,"American Conference of Governmental Industrial Hygienists. Documentation of the TLVs and BEIs with Other World Wide Occupational Exposure Values. 7th Ed. CD-ROM Cincinnati, OH 45240-1634 2013., p. 1"
36,CETYLPYRIDINIUM CHLORIDE,LD50,Rat oral 200 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 691"
37,CETYLPYRIDINIUM CHLORIDE,LD50,Rat ip 6 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 691"
38,CETYLPYRIDINIUM CHLORIDE,LD50,Rat sc 250 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 691"
39,CETYLPYRIDINIUM CHLORIDE,LD50,Rat iv 30 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 691"
40,CETYLPYRIDINIUM CHLORIDE,LD50,Mouse oral 108 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 691"
41,CETYLPYRIDINIUM CHLORIDE,LD50,Mouse ip 10 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 691"
42,CETYLPYRIDINIUM CHLORIDE,LD50,Rabbit oral 400 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 691"
43,CETYLPYRIDINIUM CHLORIDE,LD50,Rabbit iv 36 mg/kg,"Lewis, R.J. Sax's Dangerous Properties of Industrial Materials. 9th ed. Volumes 1-3. New York, NY: Van Nostrand Reinhold, 1996., p. 691"
44,EPICHLOROHYDRIN,LD50,Guinea pig intraperitoneal 118 mg/kg,"Verschueren, K. Handbook of Environmental Data of Organic Chemicals. 2nd ed. New York, NY: Van Nostrand Reinhold Co., 1983., p. 612"
45,EPICHLOROHYDRIN,LD50,Guinea pig oral 178 mg/kg,"Verschueren, K. Handbook of Environmental Data of Organic Chemicals. 2nd ed. New York, NY: Van Nostrand Reinhold Co., 1983., p. 612"
46,EPICHLOROHYDRIN,LD50,Rat oral 40 mg/kg,"Verschueren, K. Handbook of Environmental Data of Organic Chemicals. 2nd ed. New York, NY: Van Nostrand Reinhold Co., 1983., p. 612"
47,EPICHLOROHYDRIN,LD50,Mouse oral 0.238 g/kg /238 mg/kg/,"Verschueren, K. Handbook of Environmental Data of Organic Chemicals. 2nd ed. New York, NY: Van Nostrand Reinhold Co., 1983., p. 612"
48,EPICHLOROHYDRIN,LD50,Rat inhalation 250 ppm/8 hr,"Verschueren, K. Handbook of Environmental Data of Organic Chemicals. 2nd ed. New York, NY: Van Nostrand Reinhold Co., 1983., p. 613"
49,EPICHLOROHYDRIN,LD50,Rat inhalation 500 ppm/4 hr,"Verschueren, K. Handbook of Environmental Data of Organic Chemicals. 2nd ed. New York, NY: Van Nostrand Reinhold Co., 1983., p. 613"
50,EPICHLOROHYDRIN,LD50,Rabbit inhalation 445 ppm/4 hr,"Verschueren, K. Handbook of Environmental Data of Organic Chemicals. 2nd ed. New York, NY: Van Nostrand Reinhold Co., 1983., p. 613"
51,EPICHLOROHYDRIN,LD50,Rabbit skin 300 mg/kg,"ITII. Toxic and Hazardous Industrial Chemicals Safety Manual. Tokyo, Japan: The International Technical Information Institute, 1988., p. 208"
52,EPICHLOROHYDRIN,LD50,Rat oral 90 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1575"
53,EPICHLOROHYDRIN,LD50,Rat ip 133 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1575"
54,EPICHLOROHYDRIN,LD50,Rat sc 150 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1575"
55,EPICHLOROHYDRIN,LD50,Rat iv 154 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1575"
56,EPICHLOROHYDRIN,LD50,Mouse oral 195 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1575"
57,EPICHLOROHYDRIN,LD50,Mouse skin 250 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1575"
58,EPICHLOROHYDRIN,LD50,Rabbit oral 345 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1575"
59,EPICHLOROHYDRIN,LD50,Rabbit skin 515 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1575"
60,EPICHLOROHYDRIN,LD50,Rabbit ip 118 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1575"
61,EPICHLOROHYDRIN,LD50,Guinea pig oral 280 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 1575"
62,ACETIC ACID,LD50,Rat oral 3.53 g/kg,"O'Neil, M.J. (ed.). The Merck Index - An Encyclopedia of Chemicals, Drugs, and Biologicals. Cambridge, UK:  Royal Society of Chemistry, 2013., p. 11"
63,ACETIC ACID,LD50,Mouse iv 525 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 16"
64,ACETIC ACID,LD50,Rabbit dermal 1060 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 16"
65,ACETIC ACID,LD50,Mouse oral 4960 mg/kg,"WHO Food Additive Series 64: Acetic acid (1967). Available from, as of February 9, 2004: https://www.inchem.org/documents/jecfa/jecmono/40abcj37.htm"
66,ACETIC ACID,LD50,Rabbit sc 1200 mg/kg,"WHO Food Additive Series 64: Acetic acid (1967). Available from, as of February 9, 2004: https://www.inchem.org/documents/jecfa/jecmono/40abcj37.htm"
67,ACETIC ACID,LD50,Rabbit oral 1200 mg/kg,"WHO Food Additive Series 64: Acetic acid (1967). Available from, as of February 9, 2004: https://www.inchem.org/documents/jecfa/jecmono/40abcj37.htm"
68,ACETIC ACID,LD50,Rat oral 3.31 g/kg,"WHO Food Additive Series 64: Acetic acid (1967). Available from, as of February 9, 2004: https://www.inchem.org/documents/jecfa/jecmono/40abcj37.htm"
69,ACETIC ACID,LD50,Rat inhalation 11.4 mg/L /4 hr,"EPA/Office of Pollution Prevention and Toxics; High production Volume (HPV) Challenge Program's Robust summaries and Test Plans. Acetic acid and Salts (April 2003). Available from, as of February 9, 2004: https://www.epa.gov/hpv/pubs/hpvrstp.htm"
70,ACETIC ACID,LD50,"Mouse inhalation 5,620 ppm/1 hr","EPA/Office of Pollution Prevention and Toxics; High production Volume (HPV) Challenge Program's Robust summaries and Test Plans. Acetic acid and Salts (April 2003). Available from, as of February 9, 2004: https://www.epa.gov/hpv/pubs/hpvrstp.htm"
71,ACETONE,LD50,Rat oral 10.7 mL/kg (=8450 mg/kg bw),"European Chemicals Bureau; IUCLID Dataset, ACETONE (67-64-1). Available from, as of January 22, 2007: https://esis.jrc.ec.europa.eu/"
72,ACETONE,LD50,Rat oral 9800 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, ACETONE (67-64-1). Available from, as of January 22, 2007: https://esis.jrc.ec.europa.eu/"
73,ACETONE,LD50,Rat oral 5800 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, Acetone (67-64-1). Available from, as of January 22, 2007: https://esis.jrc.ec.europa.eu/"
74,ACETONE,LD50,Mouse oral 3000 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, ACETONE (67-64-1). Available from, as of January 22, 2007: https://esis.jrc.ec.europa.eu/"
75,ACETONE,LD50,Rabbit oral 5340 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, ACETONE (67-64-1). Available from, as of January 22, 2007: https://esis.jrc.ec.europa.eu/"
76,ACETONE,LD50,Rat inhalation exposure 76 mg/L/4 hr,"European Chemicals Bureau; IUCLID Dataset, ACETONE (CAS No 67-64-1). Available from, as of Janaury 22, 2007: https://esis.jrc.ec.europa.eu/"
77,ACETONE,LD50,Rat inhalation 50.1 mg/L/8 hr,"European Chemicals Bureau; IUCLID Dataset, ACETONE (CAS No 67-64-1). Available from, as of Janaury 22, 2007: https://esis.jrc.ec.europa.eu/"
78,ACETONE,LD50,"Rabbit dermal 20,000 mg/kg bw","European Chemicals Bureau; IUCLID Dataset, ACETONE (CAS No 67-64-1). Available from, as of Janaury 22, 2007: https://esis.jrc.ec.europa.eu/"
79,ACETONE,LD50,"Mouse ip 1,297 mg/kg bw","European Chemicals Bureau; IUCLID Dataset, ACETONE (CAS No 67-64-1). Available from, as of Janaury 22, 2007: https://esis.jrc.ec.europa.eu/"
80,ACETONE,LD50,Rat iv 5500 mg/kg bw,"European Chemicals Bureau; IUCLID Dataset, ACETONE (CAS No 67-64-1). Available from, as of Janaury 22, 2007: https://esis.jrc.ec.europa.eu/"
81,ACETONE,LD50,Mouse oral 5.2 g/kg,"Bingham, E.; Cohrssen, B.; Powell, C.H.; Patty's Toxicology Volumes 1-9 5th ed. John Wiley & Sons. New York, N.Y. (2001)., p. 16"
82,ACETONITRILE,LD50,Rat young oral 200 mg/kg,"Gosselin, R.E., R.P. Smith, H.C. Hodge. Clinical Toxicology of Commercial Products. 5th ed. Baltimore: Williams and Wilkins, 1984., p. II-214"
83,ACETONITRILE,LD50,Rat oral 175 mg/kg,"Rom, W.N. (ed.). Environmental and Occupational Medicine. 2nd ed. Boston, MA: Little, Brown and Company, 1992., p. 545"
84,ACETONITRILE,LD50,Guinea pig oral 140 mg/kg,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 303"
85,ACETONITRILE,LD50,Rabbit dermal 980 mg/kg,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 303"
86,ACETONITRILE,LD50,Rabbit dermal 390 mg/kg /75% solution/,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 303"
87,ACETONITRILE,LD50,Guinea pig inhalation 5655 ppm/4 hr,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 303"
88,ACETONITRILE,LD50,Rabbit inhalation 2828 ppm/4 hr,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 303"
89,ACETONITRILE,LD50,Rat subcutaneous 3500 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 24"
90,ACETONITRILE,LD50,Rat iv 1680 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 24"
91,ACETONITRILE,LD50,Rat parenteral 1100 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 24"
92,ACETONITRILE,LD50,Mouse oral 269 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 24"
93,ACETONITRILE,LD50,Mouse inhalation 2693 ppm/ 1 hr,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 24"
94,ACETONITRILE,LD50,Mouse subcutaneous 4480 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 24"
95,Aniline,LD50,Rat oral 250 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 260"
96,Aniline,LD50,Rat dermal 1400 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 260"
97,Aniline,LD50,Rat ip 420 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 260"
98,Aniline,LD50,Mouse inhalation 175 ppm/7 hr,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 260"
99,Aniline,LD50,Mouse ip 492 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 260"
100,Aniline,LD50,Mouse sc 200 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 260"
101,Aniline,LD50,Dog oral 195 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 260"
102,Aniline,LD50,Rat oral 0.44 g/kg,"O'Neil, M.J. (ed.). The Merck Index - An Encyclopedia of Chemicals, Drugs, and Biologicals. Cambridge, UK:  Royal Society of Chemistry, 2013., p. 113"
103,Aniline,LD50,Rabbit oral 1 g/kg,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 184"
104,Aniline,LD50,Cat percutaneous 254 mg/kg,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 184"
105,ANISOLE,LD50,Rat ip 100-900 mg/kg /From table/,"Clayton, G. D. and F. E. Clayton (eds.). Patty's Industrial Hygiene and Toxicology: Volume 2A, 2B, 2C: Toxicology. 3rd ed. New York: John Wiley Sons, 1981-1982., p. 2526"
106,ANISOLE,LD50,Rat sc 3500-4000 mg/kg /From table/,"Clayton, G. D. and F. E. Clayton (eds.). Patty's Industrial Hygiene and Toxicology: Volume 2A, 2B, 2C: Toxicology. 3rd ed. New York: John Wiley Sons, 1981-1982., p. 2527"
107,BENZONITRILE,LD50,Rat 1000 mg/kg bw,"European Commission, ESIS; IUCLID Dataset, Benzonitrile (100-47-0) p.22 (2000). Available from, as of November 14, 2014: https://esis.jrc.ec.europa.eu/"
108,BENZONITRILE,LD50,Rat oral 720 mg/kg bw,"European Commission, ESIS; IUCLID Dataset, Benzonitrile (100-47-0) p.22 (2000). Available from, as of November 14, 2014: https://esis.jrc.ec.europa.eu/"
109,BENZONITRILE,LD50,Rat 690 mg/kg bw,"European Commission, ESIS; IUCLID Dataset, Benzonitrile (100-47-0) p.22 (2000). Available from, as of November 14, 2014: https://esis.jrc.ec.europa.eu/"
110,BENZONITRILE,LD50,Mouse oral 971 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 381"
111,BENZONITRILE,LD50,Mouse ip 400 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 381"
112,BENZONITRILE,LD50,Rat dermal 1200 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 381"
113,BENZONITRILE,LD50,Rabbit dermal 1250 mg/kg,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 331"
114,BENZONITRILE,LD50,Rat (young 60-80 days) oral 700 mg/kg,"Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 330"
115,BENZONITRILE,LD50,"Rat (adult, 160-180 days) oral 1500 mg/kg","Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 330"
116,BENZONITRILE,LD50,"Rat (old, 300-370 days) oral 1300 mg/kg","Snyder, R. (ed.). Ethel Browning's Toxicity and Metabolism of Industrial Solvents. 2nd ed. Volume II: Nitrogen and Phosphorus Solvents. Amsterdam-New York-Oxford: Elsevier, 1990., p. 330"
117,BENZONITRILE,LD50,Rat inhalation 950 ppm/8 hr,"Kirk-Othmer Encyclopedia of Chemical Technology. 3rd ed., Volumes 1-26. New York, NY: John Wiley and Sons, 1978-1984., p. V15 905 (1981)"
118,BENZONITRILE,LD50,Mouse subcutaneous 180 mg/kg,"Lewis, R.J. Sr. (ed) Sax's Dangerous Properties of Industrial Materials. 11th Edition. Wiley-Interscience, Wiley & Sons, Inc. Hoboken, NJ. 2004., p. 381"
